Nodes,Dimension,Size,Time,Largest
4,0,1.0351770828150477,2.5987625122070312e-05,0.47961263832335
4,0,0.5383570882785002,3.2901763916015625e-05,0.45189067623289003
4,0,1.2967443044379232,1.811981201171875e-05,0.505582471533031
4,0,0.8908054614035072,1.6927719116210938e-05,0.4522221767798963
4,0,0.564696797462044,1.71661376953125e-05,0.3094739331982189
8,0,1.0362280065217053,4.696846008300781e-05,0.3365746949272942
8,0,0.5710111355569347,6.818771362304688e-05,0.16412997004833518
8,0,0.9707970382139358,4.506111145019531e-05,0.41281304493353443
8,0,2.192194207356812,4.506111145019531e-05,0.44107318150568575
8,0,1.3587318100768033,4.482269287109375e-05,0.3631294750719878
16,0,0.960563472335326,0.0001430511474609375,0.267210376893358
16,0,1.1755633199915319,0.00014209747314453125,0.1968817070127371
16,0,1.3457371828642692,0.00014495849609375,0.21890348724160125
16,0,1.157196128530929,0.00014495849609375,0.19314293134454608
16,0,1.9513842494012037,0.0001399517059326172,0.3794528573638244
32,0,1.4061112342397175,0.0005359649658203125,0.12326162084777181
32,0,1.1304822988653989,0.0005080699920654297,0.16722989218137663
32,0,1.4721485902180667,0.00049591064453125,0.16508643948153312
32,0,1.1973823045817584,0.0004980564117431641,0.13205525800560303
32,0,1.0597354930322467,0.0004889965057373047,0.06519200279706905
64,0,1.2604095351983036,0.0016698837280273438,0.07638539224210139
64,0,1.5007008870776517,0.0017049312591552734,0.07281166122717098
64,0,1.4405506400026926,0.0017440319061279297,0.07598496723575421
64,0,1.399018680722337,0.0024220943450927734,0.0765647234574599
64,0,1.3473646540650779,0.0017628669738769531,0.08838699547937723
128,0,1.3407436094574496,0.00647282600402832,0.053977086182203204
128,0,1.4299002831774046,0.007050991058349609,0.04868800857689315
128,0,1.3209456737600669,0.006716012954711914,0.037842136049025865
128,0,1.0026465304966088,0.0069921016693115234,0.022656378669208777
128,0,0.9851216867397041,0.006854057312011719,0.028395309072711372
256,0,1.3098106499889184,0.03326702117919922,0.031844536698144355
256,0,1.167503778240472,0.028895139694213867,0.02407494182974712
256,0,1.2179048220105453,0.03343391418457031,0.023600432718240083
256,0,1.3492039727589877,0.029942989349365234,0.02944173336551692
256,0,1.269816466493448,0.030905961990356445,0.023131242451647993
512,0,1.1444336369213546,0.1320798397064209,0.010729577759136966
512,0,1.2672538274049239,0.128709077835083,0.011958695705109212
512,0,1.164298935235627,0.13011693954467773,0.010169003988722447
512,0,1.225519695109738,0.12478113174438477,0.01616185051975727
